UPC,Name,Price
768538761632,"2X PIXI LOCS 36"" 4",11.99
768538761656,"2X PIXI LOCS 36"" BUG",11.99
821090905408,"2X PRESTRETCHED NIGERIAN BRAID 20"" 1",9.99
821090905415,"2X PRESTRETCHED NIGERIAN BRAID 20"" 1B",9.99
821090905422,"2X PRESTRETCHED NIGERIAN BRAID 20"" 2",9.99
821090905439,"2X PRESTRETCHED NIGERIAN BRAID 20"" 4",9.99
650270493240,"2X PRESTRETCHED NIGERIAN BRAID 20"" 613",10.99
821090905521,"2X PRESTRETCHED NIGERIAN BRAID 20"" OT27",12.99
821090905538,"2X PRESTRETCHED NIGERIAN BRAID 20"" OT30",12.99
635934424334,"2X SPRING PASSION TWIST 12"" 4",6.99
650270533335,2XS HIPPIE LOC 30 INCH FREETRESS,10.99
8809390598010,3 BALLERINA GINSENG TEA 18BAG,5.99
781308001288,3 BALLERINA TEA 18TEA BAG,5.99
781308001387,3 BALLERINA TEA 30 CAPSULE #00138,10.99
781308001233,3 BALLERINA TEA 30TEA BAG,6.99
705372060545,3 STEP BUFFER,0.99
693525627014,"3+1 QUEEN B BRAID 60"" #27",7.99
693525623009,"3+1 QUEEN B BRAID 40"" #1B",5.99
693525623016,"3+1 QUEEN B BRAID 40"" #2",5.99
693525623023,"3+1 QUEEN B BRAID 40"" #4",5.99
693525623078,"3+1 QUEEN B BRAID 40"" #613",5.99
693525623061,"3+1 QUEEN B BRAID 40"" #BG",5.99
693525639864,"3+1 QUEEN B BRAID 40"" #BLUE",5.99
693525639888,"3+1 QUEEN B BRAID 40"" #RED",5.99
693525623085,"3+1 QUEEN B BRAID 40"" #T1B/27",5.99
693525623092,"3+1 QUEEN B BRAID 40"" #T1B/30",5.99
693525623115,"3+1 QUEEN B BRAID 40"" #T1B/BG",5.99
693525626949,"3+1 QUEEN B BRAID 50"" # TT1B/BLUE",6.99
693525637891,"3+1 QUEEN B BRAID 50"" #1",6.99
693525637907,"3+1 QUEEN B BRAID 50"" #1B",6.99
693525637914,"3+1 QUEEN B BRAID 50"" #2",6.99
693525637938,"3+1 QUEEN B BRAID 50"" #27",6.99
693525637945,"3+1 QUEEN B BRAID 50"" #30",6.99
693525637990,"3+1 QUEEN B BRAID 50"" #350",6.99
693525637921,"3+1 QUEEN B BRAID 50"" #4",6.99
693525637952,"3+1 QUEEN B BRAID 50"" #BG",6.99
693525631844,"3+1 QUEEN B BRAID 50"" #PINK",6.99
693525631851,"3+1 QUEEN B BRAID 50"" #PLUM",6.99
693525631820,"3+1 QUEEN B BRAID 50"" #RAVENDER",6.99
693525637969,"3+1 QUEEN B BRAID 50"" #TT1B/27",6.99
693525637976,"3+1 QUEEN B BRAID 50"" #TT1B/30",6.99
693525626932,"3+1 QUEEN B BRAID 50"" #TT1B/350",6.99
693525637983,"3+1 QUEEN B BRAID 50"" #TT1B/BG",6.99
693525633978,"3+1 QUEEN B BRAID 50"" #WHITE",6.99
693525626970,"3+1 QUEEN B BRAID 60"" #1",7.99
693525626987,"3+1 QUEEN B BRAID 60"" #1B",7.99
693525626994,"3+1 QUEEN B BRAID 60"" #2",7.99
693525627021,"3+1 QUEEN B BRAID 60"" #30",7.99
693525627038,"3+1 QUEEN B BRAID 60"" #350",7.99
693525627007,"3+1 QUEEN B BRAID 60"" #4",7.99
636227013112,3D FAUX MINK EYELASH #001,3.99
636227013068,3D FAUX MINK EYELASH #001S,3.99
636227013129,3D FAUX MINK EYELASH #002,3.99
636227013136,3D FAUX MINK EYELASH #003,3.99
636227013143,3D FAUX MINK EYELASH #004,3.99
636227013150,3D FAUX MINK EYELASH #005,3.99
636227013167,3D FAUX MINK EYELASH #006,3.99
636227013174,3D FAUX MINK EYELASH #007,2.99
636227126775,3D FAUX MINK EYELASH #007S,3.99
636227013181,3D FAUX MINK EYELASH #008,3.99
636227126799,3D FAUX MINK EYELASH #009S,3.99
636227013204,3D FAUX MINK EYELASH #010,3.99
636227013440,3D FAUX MINK EYELASH #014,3.99
636227013457,3D FAUX MINK EYELASH #015,3.99
636227013464,3D FAUX MINK EYELASH #016,3.99
636227013471,3D FAUX MINK EYELASH #017,2.99
636227013488,3D FAUX MINK EYELASH #018,3.99
636227013198,3D FAUX MINK EYELASH #FML009,3.99
650270498498,"3X BOHEMIAN CURL 8"" 1",5.99
768538743140,3X BOSS PRESTRETCHED BRAID 1,4.99
768538743201,3X BOSS PRESTRETCHED BRAID 4,4.99
768538743218,3X BOSS PRESTRETCHED BRAID 613,4.99
650270547547,3X BRAID 301 OTSILVER,5.99
650270549503,3X CLEAN THERAPY 613,3.99
34240449312,"3X DEJAVU PRESTRETCHED 26"" 2",5.99
34240449305,"3X DEJAVU PRESTRETCHED 26"" 1B",5.99
34240449329,"3X DEJAVU PRESTRETCHED 26"" 4",5.99
34240449398,"3X DEJAVU PRESTRETCHED 26"" T1B/BUR",5.99
34240449374,"3X DEJAVU PRESTRETCHED 26"" T1B27",5.99
34240452725,"3X DEJAVU PRESTRETCHED 26"" T1B27613",5.99
34240449381,"3X DEJAVU PRESTRETCHED 26"" T1B30",5.99
650270542023,"3X GORGEOUS TWIST 18"" 1",10.99
650270542030,"3X GORGEOUS TWIST 18"" 1B",10.99
650270542047,"3X GORGEOUS TWIST 18"" 2",10.99
650270542054,"3X GORGEOUS TWIST 18"" 27",10.99
650270542061,"3X GORGEOUS TWIST 18"" 30",10.99
650270542078,"3X GORGEOUS TWIST 18"" 4",10.99
650270542085,"3X GORGEOUS TWIST 18"" 530",10.99
650270542092,"3X GORGEOUS TWIST 18"" 613",10.99
650270542108,"3X GORGEOUS TWIST 18"" OT27",12.99
650270542115,"3X GORGEOUS TWIST 18"" OT30",12.99
650270542122,"3X GORGEOUS TWIST 18"" OT530",12.99
650270498504,"3X KIDS- BOHEMIAN CURL 8"" 1B",5.99
650270498511,"3X KIDS- BOHEMIAN CURL 8"" 2",5.99
650270498528,"3X KIDS- BOHEMIAN CURL 8"" 27",5.99
650270498535,"3X KIDS- BOHEMIAN CURL 8"" 30",5.99
650270498542,"3X KIDS- BOHEMIAN CURL 8"" 4",5.99
650270498559,"3X KIDS- BOHEMIAN CURL 8"" 530",5.99
650270498566,"3X KIDS- BOHEMIAN CURL 8"" T27",5.99
650270498573,"3X KIDS- BOHEMIAN CURL 8"" T30",5.99
650270498580,"3X KIDS- BOHEMIAN CURL 8"" T530",5.99
650270498696,"3X KIDS- BOUNCY WAND CURL 8"" 1",5.99
650270498702,"3X KIDS- BOUNCY WAND CURL 8"" 1B",5.99
650270498719,"3X KIDS- BOUNCY WAND CURL 8"" 2",5.99
650270498726,"3X KIDS- BOUNCY WAND CURL 8"" 27",5.99
650270498733,"3X KIDS- BOUNCY WAND CURL 8"" 30",5.99
650270498740,"3X KIDS- BOUNCY WAND CURL 8"" 4",5.99
650270498757,"3X KIDS- BOUNCY WAND CURL 8"" 530",5.99
196720046975,"3X KIDS- BOUNCY WAND CURL 8"" GREY",5.99
650270498764,"3X KIDS- BOUNCY WAND CURL 8"" T27",5.99
650270498771,"3X KIDS- BOUNCY WAND CURL 8"" T30",5.99
650270498788,"3X KIDS- BOUNCY WAND CURL 8"" T530",5.99
650270498597,"3X KIDS- BOX BRAID 8"" 1",5.99
650270498603,"3X KIDS- BOX BRAID 8"" 1B",5.99
650270498610,"3X KIDS- BOX BRAID 8"" 2",5.99
650270498627,"3X KIDS- BOX BRAID 8"" 27",5.99
650270498634,"3X KIDS- BOX BRAID 8"" 30",5.99
650270498641,"3X KIDS- BOX BRAID 8"" 4",5.99
650270498658,"3X KIDS- BOX BRAID 8"" 530",5.99
196720044957,"3X KIDS- BOX BRAID 8"" COPPER",5.99
650270498665,"3X KIDS- BOX BRAID 8"" T27",5.99
650270498672,"3X KIDS- BOX BRAID 8"" T30",5.99
650270498689,"3X KIDS- BOX BRAID 8"" T530",5.99
650270498795,"3X KIDS- DEEP TWIST 8"" 1",5.99
650270498801,"3X KIDS- DEEP TWIST 8"" 1B",5.99
650270498818,"3X KIDS- DEEP TWIST 8"" 2",5.99
650270498825,"3X KIDS- DEEP TWIST 8"" 27",5.99
650270498832,"3X KIDS- DEEP TWIST 8"" 30",5.99
650270498849,"3X KIDS- DEEP TWIST 8"" 4",5.99
650270498863,"3X KIDS- DEEP TWIST 8"" T27",5.99
650270498870,"3X KIDS- DEEP TWIST 8"" T30",5.99
650270498887,"3X KIDS- DEEP TWIST 8"" T530",5.99
650270499068,"3X KIDS- JUMBO SENEGAL TWIST 9"" T27",5.99
650270499075,"3X KIDS- JUMBO SENEGAL TWIST 9"" T30",5.99
650270498894,"3X KIDS- SENEGAL TWIST 8"" 1",5.99
650270498900,"3X KIDS- SENEGAL TWIST 8"" 1B",5.99
650270498917,"3X KIDS- SENEGAL TWIST 8"" 2",5.99
650270498924,"3X KIDS- SENEGAL TWIST 8"" 27",5.99
650270498931,"3X KIDS- SENEGAL TWIST 8"" 30",5.99
650270498948,"3X KIDS- SENEGAL TWIST 8"" 4",5.99
650270498955,"3X KIDS- SENEGAL TWIST 8"" 530",5.99
196720044964,"3X KIDS- SENEGAL TWIST 8"" COPPER",5.99
650270498962,"3X KIDS- SENEGAL TWIST 8"" T27",5.99
650270498979,"3X KIDS- SENEGAL TWIST 8"" T30",5.99
650270498986,"3X KIDS- SENEGAL TWIST 8"" T530",5.99
650270498290,"3X KIDS- SPRING TWIST 8"" 1",5.99
650270498306,"3X KIDS- SPRING TWIST 8"" 1B",5.99
650270498313,"3X KIDS- SPRING TWIST 8"" 2",5.99
650270498320,"3X KIDS- SPRING TWIST 8"" 27",5.99
650270498337,"3X KIDS- SPRING TWIST 8"" 30",5.99
650270498344,"3X KIDS- SPRING TWIST 8"" 4",5.99
650270498351,"3X KIDS- SPRING TWIST 8"" 530",5.99
196720044933,"3X KIDS- SPRING TWIST 8"" COPPER",5.99
196720046982,"3X KIDS- SPRING TWIST 8"" GREY",5.99
650270498368,"3X KIDS- SPRING TWIST 8"" T27",5.99
650270498375,"3X KIDS- SPRING TWIST 8"" T30",5.99
650270498382,"3X KIDS- SPRING TWIST 8"" T530",5.99
196720044940,"3X KIDS-BONA LOC 8"" COPPER",5.99
196720046968,"3X KIDS-BONA LOC 8"" GREY",5.99
950116100029,"3X LOC N PRE-STR BRAID 52"" #1",5.99
950116100111,"3X LOC N PRE-STR BRAID 52"" #1B",5.99
950116100159,"3X LOC N PRE-STR BRAID 52"" #2",5.99
950116100241,"3X LOC N PRE-STR BRAID 52"" #27",5.99
950116100333,"3X LOC N PRE-STR BRAID 52"" #30",5.99
950116100524,"3X LOC N PRE-STR BRAID 52"" #350",5.99
950116100654,"3X LOC N PRE-STR BRAID 52"" #4",5.99
950116100739,"3X LOC N PRE-STR BRAID 52"" #613",5.99
950116101750,"3X LOC N PRE-STR BRAID 52"" #RED",5.99
950116101828,"3X LOC N PRE-STR BRAID 52"" #T1B/27",5.99
950116101835,"3X LOC N PRE-STR BRAID 52"" #T1B/30",5.99
650270550516,"3X NIKKI GORGEOUS LOC 18"" 1B",9.99
650270550509,"3X NIKKI GORGEOUS LOC 18"" 1",9.99
650270550585,"3X NIKKI GORGEOUS LOC 18"" 1",9.99
650270550547,"3X NIKKI GORGEOUS LOC 18"" 1",9.99
650270550523,"3X NIKKI GORGEOUS LOC 18"" 2",9.99
650270550530,"3X NIKKI GORGEOUS LOC 18"" 27",9.99
650270550554,"3X NIKKI GORGEOUS LOC 18"" 4",9.99
650270550578,"3X NIKKI GORGEOUS LOC 18"" T30",9.99
650270544478,"3X PACIFIC CURL 18"" 1",10.99
650270544485,"3X PACIFIC CURL 18"" 1B",10.99
650270544492,"3X PACIFIC CURL 18"" 2",10.99
650270544508,"3X PACIFIC CURL 18"" 4",10.99
693525631998,"3X Q* BAN TWIST 16"" 30",11.99
693525631974,"3X Q* BAN TWIST 16"" 4",11.99
693525632001,"3X Q* BAN TWIST 16"" BG",11.99
635934341457,"3X SENEGALESE TWIST 10""12""14"" T1B/27",7.99
635934341471,"3X SENEGALESE TWIST 10""12""14"" T1B/BUG",7.99
116655679307,"3X SPETRA BAID 26"" 4",5.99
116655679277,"3X SPETRA BRAID 26"" 1",5.99
116655679291,"3X SPETRA BRAID 26"" 2",5.99
650270547844,"3X TAHITI WATER CURL 16"" 1",10.99
650270547851,"3X TAHITI WATER CURL 16"" 1B",10.99
650270557423,"3X TAHITI WATER CURL 16"" 30",10.99
650270557430,"3X TAHITI WATER CURL 16"" 350",10.99
650270547875,"3X TAHITI WATER CURL 16"" 4",10.99
650270557447,"3X TAHITI WATER CURL 16"" 530",10.99
650270547882,"3X TAHITI WATER CURL 16"" T27",10.99
650270547899,"3X TAHITI WATER CURL 16"" T30",10.99
650270547905,"3X TAHITI WATER CURL 16"" T530",10.99
650270697129,"3X WATER CURL 20"" GREY",10.99
827298895534,"3X XPRESSION STRETCHED 52"" 2T1B/27613",5.99
827298944485,"3X XPRESSION STRETCHED BRAID 32"" 1",4.99
827298944492,"3X XPRESSION STRETCHED BRAID 32"" 1B",4.99
827298944508,"3X XPRESSION STRETCHED BRAID 32"" 2",4.99
827298950776,"3X XPRESSION STRETCHED BRAID 42"" OLIVE",5.99
649674076302,5D BROADWAY,5.99
607203027089,607203027072,1.29
607203039136,607203530220,1.29
649674054669,649674054669,4.99
636227993506,70 SAFTY PINS #350,1.49
666425500015,70% ISOPROPYL ALCOHOL 16OZ #50001,7.99
731509786446,731509809305,3.99
607203020325,"7TYCHE 1/2"" FLAT IRON PINK #TFL-0.5PU",10.99
607203020349,"7TYCHE 1/2"" FLAT IRON PURPLE #TFL-0.5P",10.99
705372030821,80 DOUBLE PRONG CLIPS #3082,6.99
705372030814,80 SINGLE PRONG CLIPS #3081,6.99
666425500039,99% ISOPROPYL ALCOHOL 16OZ #50003,7.99
858380025027,A/A L&L CONDITIONER 12OZ,11.89
858380025034,A/A L&L POME PASSION GROYOGURT 8OZ #02503,11.89
858380025010,A/A L&L SHAMPOO 12OZ #02501,11.89
34285526122,A/B 2 IN 1 DETANGLER 12OZ #52612,5.09
34285554125,A/B BODY OLIVE OIL 12OZ #55412,7.19
34285500122,A/B BRAID SHEEN SPRAY 12OZ #50012,4.69
34285537067,A/B CARROT TEA-TREE OIL 6OZ #53706,4.69
34285523053,A/B CASTOR OIL 5.25OZ #52305,4.39
34285541156,A/B CHOLESTEROL TEA-TREE 15OZ #54115,5.79
34285557164,A/B COCOA/SHEA LOTION 12OZ #55716,7.09
34285106126,A/B DEEP CONDITIONER 12OZ #10612,3.79
34285521127,A/B DETANGLING CONDITIONR 12OZ #52112,3.79
34285256081,A/B FOAM WRAP 8.5 OZ OLIVE OIL,6.29
34285534165,A/B HAIR MAYONNAISE 15OZ #53416,5.99
34285517014,A/B HAIR SOFTEN TEXTURES NO-LY #51701,8.49
34285506049,A/B HERBAL SUPER GRO 5.25OZ #50604,4.49
34285210113,A/B HONEY&CASTOR CO-WASH 12OZ #21011,10.09
34285210816,A/B HONEY&CASTOR CURLS 10OZ #21081,10.09
34285210717,A/B HONEY&CASTOR THERMAL MOIST 6OZ #21071,8.69
34285508128,A/B INSTANT OIL MOIST 12OZ #50812,4.19
34285527082,A/B KIDS GROWTH OIL REMED 8OZ #52708,5.29
34285567125,A/B KIDS HAIR LOTION 12OZ #56712,5.29
34285562007,A/B KIDS ORGANICS KIT [COARSE] #56200,7.99
34285561000,A/B KIDS ORGANICS KIT [REG] #56100,7.99
34285545062,A/B LIQUID MAYONNAISE #54506,4.69
34285128128,A/B MOIST RENEW DEEP CONDT 12.OZ#12812,4.69
34285520120,A/B MOIST SHAMPOO W/ COND 12OZ #52012,3.79
34285530006,A/B NO LYE KIT (REG) #53000,6.69
34285531003,A/B NO LYE KIT (SUPER)YELLOW KIT #53100,6.69
34285557041,A/B OLIVE GROWTH OIL 4OZ #55704,5.09
34285244064,A/B OLIVE OIL SERUM 6OZ HAIR P,4.49
34285513085,A/B OLIVE&SOY MIOST LOT 8OZ,5.29
34285559045,A/B ORG ARGAN OILGROWTH OIL 4OZ #55904,5.09
34285555047,A/B ORG COCONUT GROWTH OIL 4OZ #55504,5.09
34285570088,A/B ORG GRO STRONG 7.5OZ #57008,5.29
34285560041,A/B ORG JAMAICAN GROWTHOIL 4OZ #56004,5.09
34285565152,A/B ORG KIDS CONDITIONER 15OZ,5.69
34285249069,A/B ORG LV-IN CONDITIONER 6OZ #24906,4.49
34285559083,A/B ORG MOST BODY GLOSS 12OZ #55908,6.89
34285553159,A/B ORG OLIVE BODY WHIP 15OZ#55315,6.99
34285250126,A/B ORG OLIVE OIL SHAMPOO 12OZ #25012,5.29
34285569129,A/B ORG S/BUTTER SHAMPOO 12OZ #56912,5.69
34285580001,A/B ORG TOUCH-UP KIT (R),4.99
34285581008,A/B ORG TOUCH-UP KIT (S),4.99
34285543068,A/B ORGANIC OLIVE OIL #54306,4.69
34285246013,A/B ORGANICS 2PACK KIT(R),12.09
34285247010,A/B ORGANICS 2PACK KIT(S),12.09
34285540005,A/B ORGANICS OLIVE KIT(R) #54000,7.39
34285541002,A/B ORGANICS OLIVE KIT(S) #54100,7.39
34285234065,A/B ORGANICS POLISHER 6OZ,4.99
34285238018,A/B ORGANICSTEX KIT 3.5OZ,6.29
34285248154,A/B ORIGINALS O/OIL DEEP CONDI 15OZ #24815,6.99
34285210014,A/B ORIGINALS TEX-LAX KIT,7.99
34285564070,A/B PROTEIN REMEDY 7.5 OZ #56407,5.29
34285525156,A/B SMOOTH STYLING GEL 15OZ #52515,5.09
34285502058,A/B SUPER GRO #50205,4.49
34285502041,A/B SUPER GRO(MAX) 5.25OZ #50204,4.49
34285120061,A/B TRIPLE REPAIR CREAM 6OZ #12006,4.39
34285504083,A/B UTIMATE HERBAL OIL 8OZ,4.39
746817152036,A/E BRAID SHEEN SPRAY 12OZ #15203,5.29
746817312089,A/E CONTROL WIG 3IN1 SPRAY 12OZ #31208,5.29
746817681093,A/E NEUTRA SHAMPOO 8OZ #68109,2.69
746817152111,A/E WEAVE SPRAY 6-IN-1 12OZ #15211,6.69
678924151070,A/F BEAUTY CREAM 1.76OZ,3.29
678924301079,A/F BLACK CREAM,3.49
678924223074,A/F BLACK SOAP COCOA 3.5OZ #22307,2.69
678924233073,A/F BLACK SOAP SHEA 3.5OZ #23307,2.69
802535100480,"A/F BRAID, LOC & TWIST GEL 8OZ #10048",6.39
678924063076,A/F LEMON SOAP 7OZ,5.29
678924331076,A/F SKIN TONING CREAM 1.76OZ #33107,3.99
678924003072,A/F SOAP FORMULA 3OZ #00307,2.69
6789240030728,A/F SOAP YELLOW (MEDICATED),1.49
15228131283,A/G 2STEP PROTEIN TREATMENT #13128,3.99
15228131108,A/G BALANCE MOIST 8OZ #13110,5.69
15228131467,A/G CURL CURL DEFINER 8OZ #13146,7.99
15228131481,A/G CURL MOIST RICH LV-IN 8OZ #13148,7.99
15228131450,A/G CURL TEXT H/WASH 12OZ #13145,7.99
15228135519,A/G CURLIFIC TEXT TRTMNT 1OZ #13551,2.49
15228131313,A/G GLOSS POLISHER SPRAY 6OZ #13131,10.99
15228135007,A/G KERATIAN RECONS 0.75OZ #13500,2.29
15228135106,A/G KERATIN RECNSTRUCTOR 8OZ #13510,7.99
15228135175,A/G KERATIN RESTRUCT 8OZ #13517,8.49
15228135403,A/G KERATIN& GREEN TEA SHAMPOO 12OZ #13540,7.49
15228100852,A/G SHAMP FOR DAMAGED 16OZ #10085,7.99
15228135427,A/G SHEA-PRO LEAVE-IN MOISTURIZER 12OZ #13542,9.69
15228131160,A/G STY&WRAP MOUSSE 8.5OZ #13116,8.99
34285691042,A/J BALANCE GRAPESEED&AVOCADO 4OZ #69104,6.89
34285687076,A/J BUTTER CREME SEALANT 7.5OZ #68707,10.09
34285678081,A/J BUTTER FUSIONS A/H 8OZ #67808,10.69
34285680084,A/J BUTTER FUSIONS A/S 8OZ #68008,10.69
34285681081,A/J BUTTER FUSIONS B/S 8OZ #68108,10.69
34285677084,A/J BUTTER FUSIONS M/M 8OZ #67708,10.69
34285688158,A/J C/C DEEP CONDITIONER 15OZ #68815,10.09
34285656034,A/J CLARIFYING SHAM 3OZ #65603,4.49
34285689124,A/J COCO WASH CLEANSER 12OZ #68912,10.09
34285676124,A/J CO-WASH CLEANSER 12OZ #67612,7.09
34285686024,A/J CURL BOSS CURLI GELEE 1.75OZ #68602,1.99
34285686154,A/J CURL BOSS CURLI GELEE 15OZ #68615,10.09
34285696030,A/J CURL CUSTARD 3OZ #69603,4.49
34285696023,A/J CURL LA LA CUSTARD 1.75OZ #69602,1.99
34285696153,A/J CURL LA LA CUSTARD 15OZ #69615,9.79
34285686031,A/J CURLING GELEE 3OZ # 68603,4.49
34285671150,A/J DEFINGING CURL WHIP 15OZ #67115,9.59
34285698034,A/J DETANGLING THERAPY 3OZ #69803,4.49
34285692155,A/J DONT SHRINK CURLING GEL 15OZ #69215,9.39
34285675158,A/J FLAXSEED COND MASQUE 15OZ #67515,9.59
34285690045,A/J FRIZZ REBEL COCONUT&ALMOND 4OZ #69004,6.89
34285668150,A/J GIRLS BABY GIRL CURLS 15OZ #66815,9.49
34285669089,A/J GIRLS E BLAST REMEDY 8OZ #66908,9.49
34285665128,A/J GIRLS HEADS UP SHAMP 12OZ #66512,9.49
34285666125,A/J GIRLS KONT HAVIN MOIS 12OZ #66612,9.49
34285667153,A/J GIRLS SOFT&SASSY COND #66715,9.49
34285660086,A/J GRAPESEED MOUSSE 8.5OZ # 66008,10.79
34285657154,A/J GRAPESEED RECOVERY COND 15OZ #65715,10.79
34285656126,A/J GRAPESEED SHAM 12OZ #65612,10.09
34285661045,A/J GRAPESEED SHEEN MIST 4OZ #66104,11.59
34285673079,A/J HYDRAT SEALING BUTTER #67307,8.49
34285697150,A/J IN CONTROL COND 15OZ #69715,9.79
34285698126,A/J KNOT ON MY WATCH 12OZ #69812,9.79
34285693039,A/J LEAVE IN COND 3OZ #69303,4.49
34285687045,A/J MOISTURE SEALANT 3OZ #68704,4.49
34285670085,A/J MULTI-PURPOSE OIL 8OZ #67008,9.59
34285695040,A/J NOURISH MY HAIR FLAXSEED 4OZ #69504,6.89
34285699123,A/J OH SO CLEAN! SHAMPOO 12OZ #69912,9.79
34285693121,A/J QUENCH LEAVE-IN COND 12OZ #69312,9.79
34285694043,A/J REPAIR MY HAIR ARGAN 4OZ #69404,6.89
34285674120,A/J SILKENING HAIR MILK 12OZ #67412,9.59
112983100902,A/L BLACK C OIL PEPPERMINT 4OZ #10090,8.99
12983100981,A/L MOIST COND 9OZ #10098,8.99
12983100974,A/L REGROWTH SHAM 9OZ #10097,8.99
802535487048,A/P BLACK CASTOR HEAT PROTECTOR 4OZ #48704,5.99
802535294295,A/P BLACK CASTOR MOISTURE MASQUE 8OZ #29429,5.99
802535710504,A/P BLACK CASTOR SEALING OIL 6OZ #71050,5.99
802535437128,A/P BRAID SHEEN SPRAY EX 12OZ #43712,6.49
802535972834,A/P BRAID&SCALP CLEANSING RINSE 12OZ #97283,6.29
802535466005,A/P DEEP COND KIT #46600,8.39
802535474130,A/P DETANGLING/M SHAMPOO 12OZ #47413,4.49
802535470064,A/P DREAM KIDS NO-LYE KIT 2PAC #47006,6.69
802535473133,A/P KID BRAID SPRAY 12OZ #47313,4.49
802535482098,A/P KID DETANGLER 8OZ #48209,4.49
802535479173,A/P KID LEAVE IN CONDITNR 15OZ #47917,4.49
802535476073,A/P KID MIRACLE CREME 6OZ #47607,4.49
802535475137,A/P KID MOISTURIZING COND 12OZ #47513,4.49
802535472099,A/P KID OIL MOISTURIZER 8OZ #47209,4.49
802535478152,A/P KID QUICK BOUNCE 15OZ,4.49
802535477070,A/P KID SMOOTH EDGES 6OZ #47707,4.49
802535161047,A/P M/M 5 ESSENTIAL OIL 4OZ #16104,7.29
802535158122,A/P M/M ACTIVATED MASQUE 12OZ #15812,7.29
802535442467,A/P M/M CURL DEF/GEL18OZ #44246,7.29
802535489042,A/P M/M CURL DEFINE GEL N CREAM 6OZ #48904,7.29
802535625617,A/P M/M CURL MILK DETANGLER 12OZ #62561,7.29
802535159129,A/P M/M CURLING CREAM 12OZ #15912,7.29
802535488045,A/P M/M EDGE WAX 6OZ #448804,7.29
802535155121,A/P M/M HONEY&COCO SHAMPOO 12OZ #15512,6.69
802535118294,A/P M/M HONEY&COCO SHAMPOO 16OZ #11829,7.09
